Latitude,Longitude,Soil Type,Temperature (°C),Humidity (%),Month,Recommended Crop
31.2753,75.4952,Black,38.6,61,January,Cotton
31.156,75.3625,Black,23.9,50,January,Sugarcane
30.8525,75.6467,Black,32.1,70,January,Cotton
31.4137,75.0877,Red,20.6,64,January,Fruits
31.1654,75.0751,Red,29.1,84,January,Maize
30.982,75.1136,Black,39.3,54,January,Millets
31.1163,75.0615,Black,37.8,75,January,Cotton
31.0253,74.915,Saline,20.6,59,January,Pulses
30.7657,75.5677,Arid,35.9,45,January,Maize
31.3415,75.8368,Saline,22.6,61,January,Sugarcane
31.4452,75.6996,Forest,26.8,81,January,Fruits
30.8526,75.0014,Black,27.3,46,January,Millets
31.5282,75.6166,Arid,17.3,90,January,Sugarcane
31.2906,75.2196,Alluvial,35.7,63,January,Cotton
31.0155,75.1655,Alluvial,24.2,58,January,Wheat
30.72,75.2391,Arid,23.4,64,January,Sugarcane
30.897,74.9716,Black,30.9,75,January,Cotton
30.9321,75.1686,Laterite,16.7,68,January,Rice
31.6271,75.2484,Forest,25.5,49,January,Rice
31.4765,75.6704,Peaty,30.8,32,January,Vegetables
30.675,75.4632,Arid,20.0,56,January,Rice
31.2263,74.8761,Saline,27.8,87,January,Maize
31.3918,75.167,Arid,28.9,57,January,Fruits
31.3235,75.1807,Red,38.2,30,January,Sugarcane
31.472,75.1922,Arid,16.6,77,January,Sugarcane
30.8543,75.6932,Forest,21.6,47,February,Rice
30.7645,75.6066,Peaty,20.8,80,February,Cotton
31.3718,75.6491,Saline,23.5,42,February,Wheat
30.7366,75.1516,Arid,17.0,87,February,Millets
31.3645,75.0302,Red,35.2,76,February,Pulses
31.23,75.744,Arid,35.1,86,February,Pulses
31.6363,75.4796,Alluvial,36.3,41,February,Fruits
30.8129,75.5236,Alluvial,24.2,38,February,Wheat
31.4173,74.9605,Saline,34.4,47,February,Wheat
30.8807,75.7775,Saline,25.7,58,February,Sugarcane
31.1961,75.3852,Arid,16.7,59,February,Wheat
31.2453,75.5462,Arid,30.4,37,February,Rice
31.2513,75.7741,Black,17.3,40,February,Wheat
31.2018,74.9688,Arid,17.6,64,February,Maize
30.9752,75.7567,Alluvial,35.0,40,February,Wheat
31.469,75.8082,Black,39.8,48,February,Cotton
31.3481,75.4768,Black,31.7,49,February,Millets
31.5733,75.7032,Forest,26.9,43,February,Rice
30.8167,75.0825,Laterite,31.1,32,February,Vegetables
31.6013,75.5379,Laterite,37.7,73,February,Pulses
31.616,75.2339,Arid,32.3,65,February,Rice
30.6887,74.8982,Arid,37.6,55,February,Millets
30.8719,74.9589,Forest,27.2,70,February,Millets
30.9739,75.248,Black,37.5,37,February,Fruits
30.8002,75.2614,Saline,17.6,47,February,Millets
31.2123,75.3409,Forest,32.0,85,March,Pulses
31.1421,75.3668,Forest,28.9,44,March,Fruits
30.7333,75.2337,Forest,28.9,35,March,Pulses
30.8527,75.2979,Black,35.0,75,March,Cotton
31.021,75.705,Laterite,33.6,65,March,Wheat
31.4702,74.9809,Saline,22.1,79,March,Rice
31.2212,75.402,Forest,39.8,72,March,Pulses
31.6241,74.9419,Saline,21.3,81,March,Millets
30.7979,75.5194,Red,39.2,81,March,Cotton
30.7254,75.4271,Forest,36.6,31,March,Wheat
31.0299,75.4968,Arid,27.9,54,March,Fruits
31.0053,75.6029,Forest,21.9,31,March,Millets
31.1022,75.5429,Alluvial,39.7,76,March,Sugarcane
31.0861,75.6514,Red,27.6,74,March,Millets
31.5075,75.507,Red,38.3,82,March,Rice
31.4047,75.8114,Black,29.1,75,March,Millets
31.1657,75.3087,Black,33.1,64,March,Cotton
30.8792,74.8733,Forest,34.6,61,March,Vegetables
30.8435,75.0848,Arid,18.4,80,March,Millets
31.5187,75.3043,Peaty,18.5,48,March,Maize
30.9826,75.161,Alluvial,26.0,49,March,Rice
30.8734,75.0943,Black,15.2,34,March,Fruits
31.2443,75.8124,Peaty,29.3,75,March,Sugarcane
31.6079,75.1714,Red,20.4,88,March,Cotton
31.5872,75.1886,Laterite,20.8,66,March,Fruits
30.6886,75.4539,Forest,21.8,71,April,Fruits
30.7581,75.182,Black,19.9,64,April,Millets
31.2195,75.4844,Alluvial,22.8,79,April,Maize
31.5839,75.7195,Black,37.9,63,April,Cotton
30.7966,74.9365,Saline,15.2,79,April,Rice
31.2971,74.9059,Forest,39.3,46,April,Vegetables
31.0567,75.2397,Saline,24.9,42,April,Millets
31.3881,75.5604,Arid,22.5,31,April,Maize
31.6043,75.1802,Red,20.5,54,April,Fruits
31.5065,75.5198,Arid,17.0,57,April,Cotton
31.238,75.6221,Red,15.9,43,April,Pulses
31.6458,75.3526,Saline,18.5,72,April,Maize
31.3855,75.0888,Red,23.6,32,April,Millets
31.6076,74.9522,Black,18.7,74,April,Vegetables
30.8571,75.3491,Laterite,16.3,31,April,Sugarcane
31.3308,75.2567,Peaty,21.2,33,April,Fruits
31.0174,75.105,Red,36.5,49,April,Rice
30.6688,75.8282,Arid,31.7,36,April,Vegetables
30.8274,74.9037,Black,25.2,57,April,Pulses
31.469,75.7377,Peaty,17.8,54,April,Wheat
